compound_number,feature_number,TIC,rel_abundance,mz,rt
289,5344_0,15351.500000,0.032768,1157.019050,7.336012
289,5350_0,12154.200000,0.025943,1158.518324,7.235479
289,5193_0,9602.160000,0.020496,1125.519931,7.235479
289,5190_0,7669.080000,0.016370,1125.007400,7.336012
289,5355_0,3951.610000,0.008435,1159.021275,7.235479
289,5464_0,3222.480000,0.006878,1180.518849,7.235479
290,4900_0,723071.380000,0.522023,1065.189730,6.531748
290,4906_0,195087.230000,0.140844,1066.190843,6.582014
290,4907_0,136521.880000,0.098562,1066.200423,6.481481
290,4915_0,78570.380000,0.056724,1067.201536,6.431215
290,447_1,47590.040000,0.034358,209.027780,6.330682
290,150_2,34744.140000,0.025084,147.030655,6.330682
290,1139_1,33735.120000,0.024355,349.058990,6.933880
290,345_2,30742.820000,0.022195,191.017335,6.330682
290,616_1,25795.520000,0.018623,245.043880,6.531748
290,221_1,22905.070000,0.016536,163.038875,4.923219
290,1622_0,10646.760000,0.007686,450.995235,6.984146
290,1168_0,9128.280000,0.006590,355.065665,6.330682
290,112_1,7741.010000,0.005589,135.026885,7.336012
290,5586_1,5711.650000,0.004124,1217.210341,6.431215
290,237_3,5651.260000,0.004080,167.033745,6.330682
290,5084_0,4523.550000,0.003266,1103.150575,6.330682
290,31_1,3094.960000,0.002234,105.017460,6.732814
290,3875_0,1879.460000,0.001357,895.158675,6.380948
290,898_3,1851.200000,0.001336,305.067520,6.582014
290,5014_0,1718.960000,0.001241,1087.171095,6.933880
290,5013_0,1656.580000,0.001196,1087.161515,6.330682
290,4916_0,1417.800000,0.001024,1067.220696,6.632281
290,4894_0,1347.570000,0.000973,1064.179038,6.380948
291,1218_1,1869696.760000,0.768237,367.064645,5.224818
291,1431_0,370694.750000,0.152314,411.056115,5.224818
291,1223_2,142557.720000,0.058575,368.065758,5.275085
291,244_2,30593.980000,0.012571,169.012020,4.621620
291,1437_0,20208.170000,0.008303,412.057228,5.224818
292,81_0,99889.550000,0.179834,126.026453,1.354298
292,824_0,71530.700000,0.128778,291.013625,1.354298
292,521_0,62663.900000,0.112815,224.801290,1.354298
292,1734_0,45319.600000,0.081590,473.283161,1.354298
292,926_0,41078.200000,0.073954,311.169995,1.304031
