number pathway,Major_Group,Group,Source,Compound_Name,,cluster.index,column,Cluster_MZ,Cluster_RT,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,afz_gal_mixed_dimer_derived,IN_464_AfzGcatBGG,1123,C18,881.15268,13.7,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,Cat_afz_mixed_dimer_derived,IN_1223_AfzCatBHGG,1092,C18,1027.209726,10.4,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,Cat_afz_mixed_dimer_derived,IN_413_AfzCatBH,2413,C18,723.192455,8.7,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,Cat_afz_mixed_dimer_derived,IN_429_AfzCatBDOHDOH,5159,C18,853.255651,9.2,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,Cat_afz_mixed_dimer_derived,IN_430_AfzCatBDOHC,2231,C18,853.236491,16.4,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,Cat_afz_mixed_dimer_derived,IN_435_AfzCatBCCin,2167,C18,837.21869,25,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,Cat_afz_mixed_dimer_derived,IN_435_AfzCatBCCin,3810,C18,837.218691,22.2,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,Cat_afz_mixed_dimer_derived,IN_438_AfzCatBCinCin,7698,C18,821.224841,25.9,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,gal_cat_mixed_dimer_derived,IN_283_GcatCatBGG,786,C18,897.15132,9.7,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,gal_cat_mixed_dimer_derived,IN_283_GcatCatBGG,4115,C18,897.15132,9.7,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,gal_cat_mixed_dimer_derived,IN_283_GcatCatBGG,3667,C18,897.15132,12.3,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,gal_cat_mixed_dimer_derived,IN_285_GcatCatBCinCin,4725,C18,853.21254,22.6,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,gal_gal_cat_trimer_derived,UNPD159178,1395,C18,1065.18973,7.4,,
