"id","species_code","itteration","Raos_Q","D_q","MD_q","FD_q","ncomps","updated"
"705","T57_5","1","0.8094","38.3896","31.0726","1192.86","433","2020-11-16 18:54:34"
"706","T58_1","1","0.875475","8.64779","7.57092","65.4717","126","2020-11-16 18:54:34"
"707","T57_6","1","0.925401","14.2996","13.2329","189.225","173","2020-11-16 18:54:34"
"708","T58_3","1","0.698903","4.52147","3.16007","14.2882","61","2020-11-16 18:54:35"
"709","T58_2","1","0.916226","13.1679","12.0648","158.868","128","2020-11-16 18:54:35"
"710","T58_5","1","0.92305","21.8185","20.1396","439.416","156","2020-11-16 18:54:35"
"711","T59_2","1","0.900732","21.0155","18.9293","397.81","249","2020-11-16 18:54:35"
"712","T58_4","1","0.922417","36.3232","33.5052","1217.02","201","2020-11-16 18:54:35"
"713","T59_1","1","0.89276","20.7247","18.5022","383.452","255","2020-11-16 18:54:35"
"714","T60_1","1","0.934322","24.6533","23.0341","567.869","122","2020-11-16 18:54:36"
"715","T59_3","1","0.900611","20.9009","18.8236","393.43","283","2020-11-16 18:54:36"
"716","T59_5","1","0.886185","20.658","18.3068","378.182","258","2020-11-16 18:54:36"
"717","T59_4","1","0.899452","21.2629","19.125","406.654","242","2020-11-16 18:54:36"
"718","T60_3","1","0.910736","17.8502","16.2568","290.188","100","2020-11-16 18:54:36"
"719","T60_2","1","0.944363","23.6053","22.292","526.208","138","2020-11-16 18:54:36"
"720","T60_4","1","0.91387","17.8168","16.2823","290.098","94","2020-11-16 18:54:36"
"721","T60_5","1","0.904325","17.4335","15.7656","274.849","99","2020-11-16 18:54:36"
"722","T62_2","1","0.823467","12.5377","10.3244","129.445","113","2020-11-16 18:54:37"
"723","T62_3","1","0.810867","11.6077","9.41228","109.255","99","2020-11-16 18:54:37"
"724","T62_4","1","0.798831","11.2077","8.95305","100.343","108","2020-11-16 18:54:37"
"725","T63_2","1","0.808386","6.48937","5.24592","34.0427","134","2020-11-16 18:54:37"
"726","T62_6","1","0.849658","12.8078","10.8823","139.378","115","2020-11-16 18:54:37"
"727","T63_1","1","0.824576","7.10275","5.85676","41.5991","119","2020-11-16 18:54:37"
"728","T62_5","1","0.813269","10.9633","8.91615","97.7508","72","2020-11-16 18:54:37"
"729","T63_4","1","0.792052","6.52978","5.17192","33.7715","116","2020-11-16 18:54:38"
"730","T63_3","1","0.836083","7.9281","6.62855","52.5518","140","2020-11-16 18:54:38"
"731","T63_6","1","0.817668","6.7646","5.5312","37.4164","140","2020-11-16 18:54:38"
"732","T64_1","1","0.909933","16.526","15.0376","248.511","164","2020-11-16 18:54:39"
"733","T64_2","1","0.923006","21.119","19.493","411.672","166","2020-11-16 18:54:39"
"734","T64_3","1","0.903265","19.3607","17.4879","338.577","167","2020-11-16 18:54:39"
"735","T64_5","1","0.902156","18.6459","16.8215","313.653","174","2020-11-16 18:54:39"
"736","T64_4","1","0.908119","18.757","17.0336","319.498","174","2020-11-16 18:54:39"
"737","T65_1","1","0.919006","17.9659","16.5108","296.632","115","2020-11-16 18:54:40"
"738","T65_3","1","0.829489","15.5286","12.8808","200.021","101","2020-11-16 18:54:40"
"739","T65_2","1","0.930929","21.911","20.3976","446.933","111","2020-11-16 18:54:40"
"740","T65_4","1","0.755768","11.745","8.87649","104.254","93","2020-11-16 18:54:40"
"741","T67a_6","1","0.905836","15.9909","14.4851","231.631","155","2020-11-16 18:54:41"
"742","T67a_1","1","0.892166","19.4428","17.3462","337.257","185","2020-11-16 18:54:41"
"743","T67a_2","1","0.910342","14.1975","12.9246","183.496","161","2020-11-16 18:54:41"
"744","T67a_5","1","0.861282","12.8502","11.0676","142.22","169","2020-11-16 18:54:41"
"745","T65_5","1","0.921401","15.8336","14.5891","230.999","95","2020-11-16 18:54:42"
"746","T67a_7","1","0.888225","17.0737","15.1653","258.928","157","2020-11-16 18:54:42"
"747","T67b_2","1","0.92007","18.3824","16.9131","310.904","132","2020-11-16 18:54:42"
"748","T67b_1","1","0.942044","26.418","24.8869","657.464","185","2020-11-16 18:54:42"
"749","T67b_4","1","0.929454","28.9537","26.9111","779.178","190","2020-11-16 18:54:42"
"750","T67b_5","1","0.940953","21.6251","20.3482","440.032","136","2020-11-16 18:54:42"
"751","T67b_7","1","0.935597","20.7053","19.3719","401.101","178","2020-11-16 18:54:42"
"752","T68_1","1","0.869072","16.8854","14.6746","247.786","99","2020-11-16 18:54:42"
"753","T68_5","1","0.840972","14.7273","12.3852","182.401","133","2020-11-16 18:54:43"
"754","T68_3","1","0.868666","12.615","10.9582","138.239","86","2020-11-16 18:54:43"
"755","T68_6","1","0.847612","11.0795","9.39115","104.05","125","2020-11-16 18:54:43"
"756","T69_5","1","0.771672","9.8479","7.59935","74.8376","98","2020-11-16 18:54:43"
